答案代號,問題
LQA-6-1,我要買1號餐2份，3份9號餐
LQA-6-2,你好，我想訂一個招牌三明治，明天早上8:00左右去拿，謝謝
LQA-6-3,5個招牌8:30拿
LQA-6-4,再一片白吐司不用加東西
LQA-6-5,我想要花生+奶酥吐司
LQA-6-6,玉米 司蛋吐司，不要美奶滋，跟伯爵紅茶熱微糖等等內用
LQA-6-7,我要一個餐包跟伯爵紅茶大杯熱的等等拿
LQA-6-8,我要餐包，濃湯，跟伯爵紅等等過去內用
LQA-6-9,我要雞塊餐包跟伯爵紅茶大杯微糖微冰
LQA-6-10,我要一個燒肉雞蛋丹麥吐司+薯泥 司蛋餅+小杯紅茶鮮奶（溫，如果可以調甜度就半糖） 等等過去拿～謝謝
LQA-6-11,1號餐搭配古早味紅茶去冰再加一杯紅茶鮮奶去冰
LQA-6-12,醬燒肉片三明治+ 司+B套餐（紅茶鮮奶L熱）而且還要加點玉米蛋餅
LQA-6-13,一個九號餐飲料豆漿紅茶外加火星小薯餅而且還要 司蛋餅
LQA-6-14,一個九號餐 飲料改為豆漿紅茶
LQA-6-15,請幫我做薯泥沙拉蛋吐司一個，燒肉蛋吐司2個
LQA-6-16,您好，我要兩個里肌豬排三明治
LQA-6-17,你好老闆，我要招牌三明治+一杯豆漿紅茶
LQA-6-18,我要3個招牌三明治加蕃茄，等一下去拿，謝謝。
LQA-6-19,里肌豬排三明治 咖啡拿鐵去冰無糖
LQA-6-20,我要訂3份小黃瓜 士蛋土司還要一份玉米蛋餅和培根蛋餅
LQA-6-21,4個火腿蛋餅，分兩盒裝，謝謝。
LQA-6-22,我要外帶： 蘿蔔糕1份，火腿蛋餅2份（裝一盒），卡啦雞堡（原味）1個。謝謝
LQA-6-23,我要買鮪魚玉米夾蛋丹麥吐司加小黃瓜+1，還要玉米濃湯+1
LQA-6-24,我要兩份里肌豬肉三明治，不要考太焦，蛋要全熟，其中一份要對切分開放
LQA-6-25,明天早上6：40我要3份丹麥吉事蛋，一份 司蛋餅，二份薯條
LQA-6-26,我要兩個 司蛋餅一份雞塊燒肉蛋吐司豆漿鮮奶s 
LQA-6-27,你好我要一個9號，飲料溫豆漿，請問幾分鐘會好～
LQA-6-28,要買一份肉鬆蛋吐司不抹沙拉，豬排蛋餅，大杯冰鮮奶茶
LQA-6-29,一個烏龍湯麵，一杯鮮奶茶大杯
LQA-6-30,明早1號餐一份，飲料要豆漿，6:20取餐，謝謝
LQA-6-31,你好，我要一個培根三明治跟小杯豆漿，等等過去拿～
LQA-6-32,我要6號餐，飲料要買冰豆漿，蛋餅不要加醬料，胡椒也不要。花生豬排蛋吐司，不要胡椒，幫我對切放在同一個袋子就好。招牌三明治，醬燒豬排三明治
LQA-6-33,鮪魚蛋加 司吐司(不要胡椒，如果是調得的那就沒關係，請幫我對切，裝同一個袋子就好 )，招牌三明治*2 謝謝
LQA-6-34,我要一個招牌三明治再加一顆蛋
LQA-6-35,我還要伯爵紅茶中杯，微微糖
